Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff
117.0,205.0,205.0,10,11.0,2.59,2.47,6.42,6.28,-0.14
118.0,205.0,205.0,,,,,,,
119.0,205.0,205.0,,,,,,,
120.0,205.0,205.0,10.1,10.9,2.53,2.38,6.5,6.53,0.03
121.0,404.32,205.0,22.2,11.9,2.78,2.67,6.56,6.44,-0.12
122.0,205.0,205.0,10.3,11.1,2.82,2.65,7.05,6.96,-0.09
123.0,404.32,205.0,21,10.0,2.78,2.6,6.93,7.0,0.07
124.0,205.0,205.0,9.4,10.9,2.42,2.35,7.22,6.6,-0.62
125.0,205.0,205.0,10.2,11.1,2.39,2.36,6.71,6.46,-0.25
126.0,205.0,205.0,10,10.2,2.42,2.36,6.79,7.03,0.24
127.0,205.0,205.0,10.1,11.0,2.55,2.42,6.43,6.39,-0.04
128.0,205.0,205.0,10.4,11.8,2.65,2.48,7.43,7.02,-0.41
129.0,205.0,205.0,10,10.4,2.4,2.3,6.83,7.04,0.21
130.0,205.0,205.0,10.3,11.0,2.59,2.5,6.23,6.21,-0.02
131.0,404.32,205.0,21.1,11.3,2.85,2.75,6.73,6.59,-0.14
132.0,205.0,205.0,9.4,10.8,2.88,2.75,7.57,6.89,-0.68
133.0,404.32,205.0,21.3,11.9,2.7,2.58,7.02,6.68,-0.34
134.0,205.0,205.0,,,,,,,
135.0,205.0,205.0,9.4,10.7,2.43,2.75,7.2,6.97,-0.23
136.0,205.0,205.0,10.1,11.1,2.91,2.72,6.98,6.78,-0.2
137.0,205.0,205.0,10.1,10.9,2.34,2.27,6.9,6.79,-0.11
138.0,404.32,205.0,20.4,11.9,2.42,2.36,6.56,6.03,-0.53
139.0,205.0,205.0,9.3,10.8,2.58,2.49,6.92,6.34,-0.58
140.0,205.0,205.0,10.2,11.1,2.82,2.7,7.11,6.85,-0.26
141.0,205.0,205.0,10.1,12.1,2.5,2.38,6.56,5.88,-0.68
142.0,205.0,205.0,10.2,11.0,2.92,2.27,6.89,6.73,-0.16
143.0,205.0,205.0,9.4,10.9,2.53,2.41,6.98,6.47,-0.51
144.0,205.0,205.0,,,,,,,
145.0,205.0,205.0,10,10.4,2.46,2.36,6.7,6.9,0.2
146.0,404.32,205.0,21.1,11.2,2.34,2.72,6.52,6.72,0.2
147.0,205.0,205.0,10,10.4,2.66,2.5,6.29,6.56,0.27
148.0,205.0,205.0,,,,,,,
149.0,205.0,205.0,10.1,10.9,2.88,2.28,7.04,6.77,-0.27
150.0,205.0,205.0,10,10.4,2.55,2.49,6.5,6.58,0.08
151.0,205.0,205.0,,,,,,,
152.0,205.0,205.0,10.2,10.9,2.59,2.72,7.75,6.9,-0.85
153.0,205.0,205.0,10,10.4,2.37,2.75,6.91,7.18,0.27
154.0,205.0,205.0,,,,,,,
155.0,205.0,205.0,10.3,11.1,2.49,2.43,6.45,6.3,-0.15
