Hip,Distance UT,DistanceGO,Time UT,Time GO,Stride Frequency UT,Stride Frequency GO,Stride Length UT,Stride Length GO,diff,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Rank Time UT,Rank Time GO,Rank Stride Length UT,Rank Stride Length GO,Rank diff,Mean Rank,Rating
112.0,205.0,205.0,10.2,11.0,2.15,2.11,7.52,7.34,-0.18,,,,,,87.0,69.0,8.0,17.0,82.0,52.6,60.7
113.0,205.0,205.0,10.2,11.0,2.34,2.28,7.03,6.91,-0.12,,,,,,87.0,69.0,53.0,63.0,65.0,67.4,46.5
114.0,205.0,205.0,10.2,11.0,2.12,2.06,7.58,7.49,-0.09,,,,,,87.0,69.0,6.0,5.0,57.0,44.8,68.1
115.0,205.0,205.0,10.0,10.3,2.55,2.47,6.7,6.91,0.21,,,,,,19.0,3.0,98.0,63.0,17.0,40.0,72.8
116.0,,,,,,,,,,,,,,,,,,,,,
117.0,205.0,205.0,10.0,11.0,2.59,2.47,6.62,6.48,-0.14,,,,,,19.0,69.0,108.0,104.0,68.0,73.6,40.5
118.0,,,,,,,,,,,,,,,,,,,,,
119.0,,,,,,,,,,,,,,,,,,,,,
120.0,205.0,205.0,10.1,10.9,2.53,2.38,6.7,6.73,0.03,,,,,,53.0,44.0,98.0,85.0,39.0,63.8,49.9
121.0,404.32,205.0,22.2,11.9,2.18,2.17,6.76,6.64,-0.11,,,,,,12.0,10.0,12.0,9.0,4.0,9.4,17.3
122.0,205.0,205.0,10.3,11.1,2.22,2.15,7.25,7.16,-0.08,,,,,,105.0,97.0,23.0,32.0,55.0,62.4,51.3
123.0,404.32,205.0,21.0,-21.0,2.18,2.1,7.13,-3.55,-10.68,,,,,,3.0,1.0,4.0,13.0,13.0,6.8,48.9
124.0,205.0,205.0,9.4,10.9,2.42,2.35,7.42,6.8,-0.62,,,,,,2.0,44.0,12.0,75.0,111.0,48.8,64.3
125.0,205.0,205.0,10.2,11.1,2.39,2.36,6.91,6.66,-0.25,,,,,,87.0,97.0,72.0,93.0,88.0,87.4,27.3
126.0,205.0,205.0,10.0,10.2,2.42,2.36,6.99,7.23,0.25,,,,,,19.0,1.0,57.0,24.0,13.0,22.8,89.3
127.0,205.0,205.0,10.1,11.0,2.55,2.42,6.63,6.59,-0.04,,,,,,53.0,69.0,106.0,98.0,46.0,74.4,39.7
128.0,205.0,205.0,10.4,11.8,2.05,1.98,7.63,7.22,-0.41,,,,,,112.0,111.0,5.0,26.0,98.0,70.4,43.6
129.0,205.0,205.0,10.0,10.4,2.4,2.3,7.03,7.24,0.21,,,,,,19.0,14.0,53.0,22.0,17.0,25.0,87.1
130.0,205.0,205.0,10.3,11.0,2.59,2.5,6.43,6.41,-0.02,,,,,,105.0,69.0,113.0,109.0,44.0,88.0,26.7
131.0,404.32,205.0,21.1,11.3,2.25,2.25,6.93,6.79,-0.14,,,,,,5.0,3.0,9.0,6.0,5.0,5.6,63.5
132.0,205.0,205.0,9.4,10.8,2.28,2.25,7.77,7.09,-0.68,,,,,,2.0,37.0,2.0,41.0,113.0,39.0,73.7
133.0,402.32,205.0,21.3,11.9,2.1,2.08,7.19,6.88,-0.3,,,,,,5.0,4.0,2.0,4.0,6.0,4.2,50.0
134.0,,,,,,,,,,,,,,,,,,,,,
135.0,205.0,205.0,9.4,10.7,2.43,2.25,7.4,7.17,-0.22,,,,,,2.0,33.0,13.0,29.0,85.0,32.4,80.0
136.0,205.0,205.0,10.1,11.1,2.31,2.22,7.18,6.98,-0.2,,,,,,53.0,97.0,32.0,50.0,83.0,63.0,50.7
137.0,205.0,205.0,10.1,10.9,2.34,2.27,7.1,6.99,-0.11,,,,,,53.0,44.0,44.0,48.0,61.0,50.0,63.2
138.0,402.32,205.0,20.4,11.9,2.42,2.36,6.73,6.23,-0.5,,,,,,2.0,4.0,7.0,8.0,8.0,5.8,10.0
139.0,205.0,205.0,9.3,10.8,2.58,2.49,7.12,6.54,-0.58,,,,,,1.0,37.0,37.0,101.0,108.0,56.8,56.6
140.0,205.0,205.0,10.2,11.1,2.22,2.2,7.31,7.05,-0.26,,,,,,87.0,97.0,17.0,42.0,89.0,66.4,47.4
141.0,205.0,205.0,10.1,12.1,2.5,2.38,6.76,6.08,-0.68,,,,,,53.0,115.0,96.0,115.0,113.0,98.4,16.7
142.0,205.0,205.0,10.2,11.0,2.32,2.27,7.09,6.93,-0.17,,,,,,87.0,69.0,46.0,59.0,74.0,67.0,46.8
143.0,205.0,205.0,9.4,10.9,2.53,2.41,7.18,6.67,-0.51,,,,,,2.0,44.0,32.0,91.0,103.0,54.4,58.9
144.0,,,,,,,,,,,,,,,,,,,,,
145.0,205.0,205.0,10.0,10.4,2.46,2.36,6.9,7.1,0.2,,,,,,19.0,14.0,74.0,36.0,22.0,33.0,79.5
146.0,402.32,205.0,21.1,11.2,2.34,2.22,6.68,6.92,0.23,,,,,,3.0,1.0,8.0,3.0,1.0,3.2,75.0
147.0,205.0,205.0,10.0,10.4,2.66,2.5,6.49,6.76,0.27,,,,,,19.0,14.0,112.0,82.0,9.0,47.2,65.8
148.0,,,,,,,,,,,,,,,,,,,,,
149.0,205.0,205.0,10.1,10.9,2.28,2.28,7.24,6.97,-0.27,,,,,,53.0,44.0,27.0,55.0,91.0,54.0,59.3
150.0,205.0,205.0,10.0,10.4,2.55,2.49,6.7,6.78,0.09,,,,,,19.0,14.0,98.0,81.0,35.0,49.4,63.7
151.0,,,,,,,,,,,,,,,,,,,,,
152.0,205.0,205.0,10.2,10.9,1.99,2.22,7.95,7.1,-0.85,,,,,,87.0,44.0,1.0,36.0,115.0,56.6,56.8
153.0,205.0,205.0,10.0,10.4,2.37,2.25,7.11,7.38,0.27,,,,,,19.0,14.0,38.0,13.0,9.0,18.6,93.3
154.0,,,,,,,,,,,,,,,,,,,,,
155.0,205.0,205.0,10.3,11.1,2.49,2.43,6.65,6.5,-0.15,,,,,,105.0,97.0,105.0,103.0,70.0,96.0,19.0
156.0,205.0,205.0,10.3,11.0,2.39,2.32,6.85,6.8,-0.05,,,,,,105.0,69.0,87.0,75.0,50.0,77.2,37.1
157.0,205.0,205.0,10.0,10.4,2.34,2.27,7.17,7.32,0.15,,,,,,19.0,14.0,35.0,18.0,31.0,23.4,88.7
158.0,205.0,205.0,10.3,11.7,2.22,2.13,7.25,6.86,-0.39,,,,,,105.0,110.0,23.0,71.0,96.0,81.0,33.4
159.0,205.0,205.0,10.2,11.1,2.4,2.3,6.89,6.79,-0.1,,,,,,87.0,97.0,84.0,79.0,59.0,81.2,33.2
160.0,205.0,205.0,10.2,11.0,2.4,2.32,6.89,6.8,-0.1,,,,,,87.0,69.0,84.0,75.0,59.0,74.8,39.4
161.0,205.0,205.0,10.0,10.4,2.34,2.2,7.17,7.51,0.34,,,,,,19.0,14.0,35.0,3.0,7.0,15.6,96.2
162.0,205.0,205.0,10.1,11.0,2.5,2.47,6.76,6.48,-0.28,,,,,,53.0,69.0,96.0,104.0,93.0,83.0,31.5
163.0,205.0,205.0,10.1,10.9,2.37,2.25,7.04,7.05,0.01,,,,,,53.0,44.0,49.0,42.0,41.0,45.8,67.2
164.0,205.0,205.0,10.1,11.1,2.49,2.38,6.78,6.61,-0.17,,,,,,53.0,97.0,93.0,96.0,74.0,82.6,31.9
165.0,205.0,205.0,10.0,10.3,2.49,2.41,6.84,7.05,0.2,,,,,,19.0,3.0,88.0,42.0,22.0,34.8,77.7
166.0,,,,,,,,,,,,,,,,,,,,,
167.0,402.32,205.0,21.3,11.9,2.15,2.1,7.08,6.82,-0.26,,,,,,5.0,4.0,4.0,5.0,5.0,4.6,40.0
168.0,402.32,205.0,20.3,11.8,2.33,2.25,6.96,6.51,-0.45,,,,,,1.0,2.0,5.0,7.0,7.0,4.4,45.0
169.0,205.0,205.0,21.3,12.0,2.37,2.25,3.44,6.42,2.97,,,,,,115.0,114.0,115.0,108.0,1.0,90.6,24.2
170.0,205.0,205.0,10.0,10.4,2.42,2.35,6.99,7.12,0.13,,,,,,19.0,14.0,57.0,34.0,33.0,31.4,81.0
171.0,402.32,205.0,21.3,11.9,2.28,2.15,6.75,6.69,-0.06,,,,,,5.0,4.0,6.0,6.0,2.0,4.6,40.0
172.0,205.0,205.0,9.4,10.8,2.46,2.41,7.33,6.73,-0.6,,,,,,2.0,37.0,14.0,85.0,109.0,49.4,63.7
173.0,205.0,205.0,10.2,11.0,2.31,2.3,7.11,6.85,-0.26,,,,,,87.0,69.0,38.0,73.0,89.0,71.2,42.8
174.0,205.0,205.0,10.1,11.0,2.56,2.47,6.61,6.48,-0.13,,,,,,53.0,69.0,110.0,104.0,66.0,80.4,34.0
175.0,205.0,205.0,10.1,10.9,2.43,2.38,6.9,6.73,-0.17,,,,,,53.0,44.0,74.0,85.0,74.0,66.0,47.8
176.0,,,,,,,,,,,,,,,,,,,,,
177.0,205.0,205.0,10.0,10.3,2.5,2.25,6.82,7.42,0.6,,,,,,19.0,3.0,91.0,9.0,2.0,24.8,87.3
178.0,205.0,205.0,10.0,10.3,2.31,2.28,7.25,7.37,0.11,,,,,,19.0,3.0,23.0,15.0,34.0,18.8,93.1
179.0,205.0,205.0,9.4,10.7,2.55,2.52,7.11,6.54,-0.57,,,,,,2.0,33.0,38.0,101.0,107.0,56.2,57.2
180.0,205.0,205.0,10.0,10.4,2.46,2.38,6.9,7.04,0.14,,,,,,19.0,14.0,74.0,45.0,32.0,36.8,75.8
181.0,205.0,205.0,10.0,10.4,2.43,2.32,6.97,7.18,0.21,,,,,,19.0,14.0,63.0,27.0,17.0,28.0,84.3
