Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
1,C,Instagrand,KY,,,1/8,10.3,11.8,36,53,,11.78,25.42,42.48,4,1.1,9 mph TW,83°,,Fair,3,"Pick View LLC, Agent XXXII",25OBSOCT $35K / 25OBSJAN ($15K) / 24KEENOV $3K,$8K 2026 / $7.5K 2023,$8.5K 2026 / $5K 2023
2,C,Win Win Win,FL,,,1/8,10,11,34.1,50.1,,11.09,24.29,40.29,3,0.86,5 mph TW,78°,,Fair,18,"Golden Noguez, Agent",HB,$8.5K 2026 / $5K 2023,$30K 2026 / $50K 2023
3,F,Violence,KY,,,,,,,,,,,,3,0.75,,,,,4,"Camelot Acres Racing and Sales, Agent II",25KEESEP $62K,$30K 2026 / $50K 2023,$45K 2026 / $100K 2023
4,C,Munnings,FL,,,1/8,10,10.3,33.2,47.4,,10.79,23.48,37.98,3.67,0.86,0 mph,61°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25KEESEP ($70K),$45K 2026 / $100K 2023,"$25,850 2026 / $60K 2023"
5,F,Connect,KY,,,,,,,,,,,,4.33,0.88,,,,,5,"S B M Training and Sales, Agent III",25TTAYRL $40K,$10K 2026 / $25K 2023,$10K 2026 / $10K 2023
6,F,American Pharoah,NY,,,1/8,10,10.2,33,47,,10.49,23.03,37.03,2.2,0.5,5 mph TW,76°,,Fair,9,"Sequel Bloodstock, Agent V",25KEESEP ($95K),"$25,850 2026 / $60K 2023",$30K 2026 / $25K 2023
7,C,Drain the Clock,FL,,,1/8,10.1,10.9,33.4,48.2,,10.98,23.74,38.23,7,0.75,0 mph,61°,,Fair,5,"S B M Training and Sales, Agent III",HB,$10K 2026 / $10K 2023,$30K 2026 / $50K 2023
8,C,ROADSTER,NY,,,1/8,10,10.4,33,47.4,,10.91,23.02,37.96,4.33,0.88,7 mph TW,76°,,Fair,1,"Kings Equine, Agent",25SARAUG $25K,$7.5K 2026 / $7.5K 2023,$20K 2026 / $7.5K 2023
9,F,GIRVIN,KY,,,1/4,21.3,11.8,33.1,46.4,01:01.3,,11.73,25.23,3,0.5,1 mph TW,63°,,Fair,4,"Ocala Stud, Agent",25FTKJUL ($70K),$30K 2026 / $25K 2023,$4K 2026 / $4K 2023
10,F,Maclean's Music,KY,,,1/8,10,10.3,33.1,47.2,,10.72,23.34,37.46,4.33,0.81,8 mph TW,78°,,Fair,12,"de Meric Sales, Agent XI",25KEESEP $20K / 24KEENOV $45K,$30K 2026 / $50K 2023,$25K 2026 / $45K 2023
11,F,Maximus Mischief,KY,,,1/8,10,10.3,34.1,50.1,,10.71,24.21,40.36,7,0.75,6 mph TW,82°,,Fair,18,"Twelve Toes LLC, Agent IV",25OBSOCT $14K / 24FTDOCT $1.2K,$20K 2026 / $7.5K 2023,$15K 2026 / $30K 2023
12,F,Awesome Slew,FL,,,1/4,21.2,11.8,33,46.1,01:01.2,,11.67,24.98,2.2,0.5,10 mph TW,78°,,Fair,4,Ocala Stud,HB,$4K 2026 / $4K 2023,$5K 2026 / $20K 2023
13,C,Epicenter,KY,,,1/8,10.4,11.8,35.3,50,,11.6,24.92,39.29,1.91,0.56,5 mph TW,81°,,Fair,7,"Julie Davies LLC, Agent XII",HB,$25K 2026 / $45K 2023,$12.5K 2026 / $15K 2023
14,C,Cyberknife,KY,,,1/8,10.2,11.1,35.1,50,,11.39,24.88,39.73,2,0.33,5 mph CW,68°,,Fair,13,"Blue River Bloodstock, Inc., Agent I",25OBSOCT ($65K),$15K 2026 / $30K 2023,$7.5K 2026 / $15K 2023
15,F,Mo Donegal,KY,,,1/8,9.4,10.8,32.3,46.1,,10.62,22.98,36.46,2,0.42,12 mph TW,78°,,Fair,17,"Champions of the Future, Agent II",25OBSOCT $20K,$5K 2026 / $20K 2023,100K 2026 / 175K 2023
16,F,Nashville,NY,,,,,,,,,,,,1.91,0.56,,,,,3,"Pick View LLC, Agent VIII",HB,$12.5K 2026 / $15K 2023,$15K 2026 / $45K 2023
17,F,Vino Rosso,KY,,,1/8,10,10.3,33,47.2,,10.72,23.14,37.4,3,0.8,14 mph TW,82°,,Fair,15,"Goldencents Thoroughbreds, Agent IV",25KEESEP $2K,$7.5K 2026 / $15K 2023,$75K 2026 / $25K 2023
18,C,No Nay Never,KY,,,,,,,,,,,,3,0.7,,,,,11,"Scanlon Training & Sales, Agent III",25KEESEP ($120K),100K 2026 / 175K 2023,$10K 2026 / $20K 2023
19,F,Jack Christopher,KY,,,,,,,,,,,,3,0.5,,,,,1,"Top Line Sales LLC, Agent XVII",25KEESEP $150K / 24KEENOV $140K,$15K 2026 / $45K 2023,$15K 2026 / $30K 2023
20,F,CAIRO PRINCE,NY,,,1/8,10.2,11,34,48.4,,11.02,23.67,38.48,3.57,0.81,10 mph TW,77°,,Fair,14,New Hope AB LLC,25FTKOCT $20K,$10K 2026 / $15K 2023,$15K 2026 / $30K 2023
21,F,PRACTICAL JOKE,KY,,,,,,,,,,,,3,1,,,,,11,"Randy Miles, Agent VIII",25FTKJUL $250K,$75K 2026 / $25K 2023,$7.5K 2026 / $7.5K 2023
22,F,Speaker's Corner,KY,,,,,,,,,,,,3.8,0.83,,,,,13,First Call,25FTKOCT $60K / 24FTNMIX ($20K),$10K 2026 / $20K 2023,$15K 2026 / $60K 2023
23,C,Jackie's Warrior,KY,,,1/8,10.2,11,34.1,48.1,,11.16,23.98,37.84,5,0.83,0 mph,62°,,Fair,15,"CM Thoroughbreds, Agent I",25KEESEP $15K,$25K 2026 / $50K 2023,$15K 2026 / $60K 2023
24,F,Corniche,KY,,,,,,,,,,,,3,0.5,,,,,3,"Pick View LLC, Agent IX",25KEESEP $130K / 24KEENOV $82K,$15K 2026 / $30K 2023,$25K 2026 / $45K 2023
25,C,Life Is Good,KY,,,1/8,9.4,10.9,33.2,47.1,,10.96,23.67,37.48,3,0.5,10 mph TW,75°,,Fair,15,CM Thoroughbreds,HB,$60K 2026 / $100K 2023,$12.5K 2026 / $25K 2023
26,F,Corniche,KY,,,1/8,10,10.3,33,47.1,,10.68,23.19,37.29,3,0.5,0 mph,61°,,Fair,12,"de Meric Sales, Agent VI",25KEESEP $150K,$15K 2026 / $30K 2023,$25K 2026 / $35K 2023
27,C,Roadster,FL,,,1/8,10,10.4,33.3,48.1,,10.9,23.63,38.21,5,1,11 mph TW,81°,,Fair,12,"de Meric Sales, Agent XIV",HB,$7.5K 2026 / $7.5K 2023,$10K 2026 / $25K 2023
28,C,Charlatan,KY,,,1/8,10.1,10.9,34.2,53.3,,10.89,24.23,43.54,3,0.63,10 mph TW,79°,,Fair,17,"Five Point Thoroughbreds, Agent",25KEESEP $25K,$25K 2026 / $50K 2023,$10K 2026 / $15K 2023
29,C,Authentic,KY,,,1/8,10.4,11.6,35,49.2,,11.31,24.28,38.65,3,0.63,3 mph TW,65°,,Fair,1,"Sugar Hill LLC, Agent II",25OBSOCT $12K / 24KEENOV $5K,$15K 2026 / $60K 2023,$25K 2026 / $45K 2023
30,C,Ghostzapper,KY,,,1/8,10.4,11.8,36.1,53.2,,11.73,25.54,42.79,2.5,0.64,9 mph TW,79°,,Fair,11,"Randy Miles, Agent VIII",25KEESEP $80K / 24KEENOV $175K,N/A 2026 / $75K 2023,$75K 2026 / $25K 2023
31,C,Authentic,KY,,,1/8,10.1,11,34.3,49.4,,11.09,24.58,39.73,7,1.13,7 mph TW,78°,,Fair,3,"Marcial Galan, Agent",HB,$15K 2026 / $60K 2023,$10K 2026 / $10K 2023
32,F,Epicenter,KY,,,1/8,10,10.4,33.2,48.3,,10.82,23.48,38.67,2,0.5,8 mph TW,81°,,Fair,1,"Top Line Sales LLC, Agent XIII",25KEESEP $75K,$25K 2026 / $45K 2023,$5K 2026 / $20K 2023
33,C,Army Mule,KY,,,1/8,10,10.4,33.2,48,,10.96,23.48,38.17,3.8,0.83,9 mph CW,82°,,Fair,1,"Kings Equine, Agent IV",25KEESEP $50K / 24KEENOV ($145K),$25K 2026 / $12.5K 2023,$15K 2026 / $60K 2023
34,C,Early Voting,KY,,,1/4,23,12.2,35.2,50.2,01:06.2,,12.52,27.48,2,0.5,3 mph TW,70°,,Fair,3,"Pick View LLC, Agent XVIII",25FTKOCT ($50K) / 24KEENOV ($60K),$12.5K 2026 / $25K 2023,$110K 2026 / $110K 2023
35,F,Bolt d'Oro,KY,,,1/8,10.2,11,34,48.1,,11.12,23.78,37.85,1.86,0.45,4 mph CW,82°,,Fair,18,Twelve Toes LLC,HB,$25K 2026 / $35K 2023,$7.5K 2026 / $7.5K 2023
36,F,Mandaloun,KY,,,,,,,,,,,,3.67,0.79,,,,,17,"Caliente Thoroughbreds, Agent XVIII",25KEESEP $60K,$10K 2026 / $25K 2023,$10K 2026 / $15K 2023
37,F,Dialed In,OH,,,,,,,,,,,,6.43,0.92,,,,,14,"Grade One Investments LLC, Agent IV",25KEESEP $120K,$10K 2026 / $15K 2023,$75K 2026 / $30K 2023
38,C,Epicenter,NY,,,1/8,10.3,11.1,35.2,50.2,,11.39,24.92,39.98,1.67,0.33,6 mph CW,79°,,Fair,13,"First Call, Agent I",25FTKOCT $57K,$25K 2026 / $45K 2023,$25K 2026 / $50K 2023
39,F,Practical Joke,KY,,,1/8,10.1,10.3,33.1,47.1,,10.78,23.19,37.1,3,0.67,0 mph,61°,,Fair,1,"Top Line Sales LLC, Agent XXXVIII",25KEESEP $45K,$75K 2026 / $25K 2023,$100K 2026 / $15K 2023
40,C,DRAIN THE CLOCK,NY,,,1/8,10,11.1,34,48.3,,11.25,24.19,38.65,7,0.92,3 mph CW,81°,,Fair,12,"Thorostock LLC, Agent I",25SARAUG $50K / 24FTNMIX ($19K),$10K 2026 / $10K 2023,N/A 2026 / $7.5K 2023
41,C,Mo Donegal,KY,,,,,,,,,,,,3,0.58,,,,,13,Wildheart Thoroughbreds LLC,25KEESEP $20K,$5K 2026 / $20K 2023,$60K 2026 / $100K 2023
42,C,AUTHENTIC,KY,,4 / 42,1/4,21.1,,,,,,,,6,0.93,,,,,10,"Tom McCrocklin, Agent",25FTKJUL $95K,$15K 2026 / $60K 2023,$75K 2026 / $30K 2023
43,F,Constitution,KY,,,1/8,10.2,11,34.1,48,,11.19,23.87,37.79,2.43,0.5,5 mph TW,78°,,Fair,15,Golden Thoroughbreds Training and Sales,25KEESEP $20K,$110K 2026 / $110K 2023,$25K 2026 / $12.5K 2023
44,C,Munnings,KY,,,,,,,,,,,,1.67,0.38,,,,,3,"J V C Training and Sales, Agent I",25KEESEP $200K,$45K 2026 / $100K 2023,$2.5K 2026 / $2.5K 2023
45,F,Greatest Honour,KY,,,1/8,10.2,11,34.2,48.3,,11.1,24.17,38.23,4,0.8,9 mph TW,81°,,Fair,16,Speedy Gonzalez,25KEESEP $11K,$7.5K 2026 / $7.5K 2023,$75K 2026 / $30K 2023
46,C,DIALED IN,KY,,,,,,,,,,,,3,0.75,,,,,13,"Wildheart Thoroughbreds LLC, Agent I",25FTKOCT $26K,$10K 2026 / $15K 2023,$30K 2026 / $50K 2023
47,F,Yaupon,KY,,,1/8,10.2,11.1,34.3,49,,11.28,24.35,38.73,3,0.75,6 mph TW,82°,,Fair,5,"S B M Training and Sales, Agent",25KEEEP ($60K),$60K 2026 / $30K 2023,$25K 2026 / $45K 2023
48,F,Omaha Beach,KY,,,1/4,21.1,11.3,32.4,47,01:02.4,,11.76,25.91,3,0.8,10 mph TW,77°,,Fair,4,"Ocala Stud, Agent",HB,$75K 2026 / $30K 2023,$7.5K 2026 / $15K 2023
49,C,Omaha Beach,KY,,,1/8,10.2,10.9,33.3,47.1,,10.89,23.27,36.82,3.31,0.79,4 mph CW,81°,,Fair,14,"Winner Circle Racing Stable Corp., Agent",25KEESEP $52K,$75K 2026 / $30K 2023,$12.5K 2026 / $25K 2023
50,F,Jackie's Warrior,KY,,,1/8,10,10.3,32.4,46.3,,10.67,22.84,36.78,9,1,0 mph,62°,,Fair,6,RiceHorse Stable (Brandon & Ali Rice),25KEESEP ($35K) / 24KEENOV ($90K),$25K 2026 / $50K 2023,$7.5K 2026 / $7.5K 2023
51,F,Improbable,KY,,,,,,,,,,,,8,1.17,,,,,18,Navas Equine,25OBSOCT $25K / 25KEEJAN $5K,N/A 2026 / $25K 2023,$2K 2026 / $6.5K 2023
52,C,Vekoma,KY,,,,,,,,,,,,2.43,0.5,,,,,11,"Randy Miles, Agent VIII",25KEESEP $220K,$100K 2026 / $15K 2023,$7.5K 2026 / $7.5K 2023
53,C,SHANCELOT,KY,,,1/8,10.1,10.9,34.2,52.1,,10.98,24.22,42.1,0.45,-0.38,6 mph CW,78°,,Fair,3,"Pick View LLC, Agent I",25FTKOCT $27K,N/A 2026 / $7.5K 2023,$12.5K 2026 / $15K 2023
54,F,Life Is Good,KY,,,1/8,10,10.4,34,48.4,,10.92,24.12,38.98,3,0.75,8 mph TW,82°,,Fair,12,"de Meric Sales, Agent III",25KEESEP ($240K),$60K 2026 / $100K 2023,$7.5K 2026 / $15K 2023
55,F,American Pharoah,KY,,,1/8,10,10.4,33.3,48.2,,10.91,23.66,38.46,1.29,0.38,4 mph TW,75°,,Fair,12,"de Meric Sales, Agent III",25KEESEP ($140K),"$25,850 2026 / $60K 2023",$12.5K 2026 / $10K 2023
56,F,Omaha Beach,FL,,,1/4,20.4,11.8,32.2,47.1,01:04.3,,11.73,26.48,2,0.5,4 mph CW,70°,,Fair,10,"Tom McCrocklin, Agent",HB,$75K 2026 / $30K 2023,$10K 2026 / $10K 2023
57,C,Army Mule,KY,,,1/8,9.4,10.7,32.3,46.4,,10.58,22.93,37.15,2.2,0.56,0 mph,64°,,Fair,12,"Thorostock LLC, Agent I",25KEESEP $95K,$25K 2026 / $12.5K 2023,$25K 2026 / $30K 2023
58,F,Curlin's Honor,NY,,,1/8,10.2,11.8,35.1,50,,11.64,24.85,39.79,3,0.63,5 mph CW,82°,,Fair,2,"On Point Training & Sales, Agent",HB,$2.5K 2026 / $2.5K 2023,$10K 2026 / $12.5K 2023
59,C,Omaha Beach,KY,,,1/4,21.1,11.3,32.4,46.4,01:02.3,,11.76,25.67,4.5,0.86,6 mph TW,70°,,Fair,17,J & R Thoroughbreds LLC,25KEESEP ($55K) / 24KEENOV ($37K),$75K 2026 / $30K 2023,$25K 2026 / $50K 2023
60,C,Omaha Beach,KY,,,1/8,9.4,10.8,33.3,50,,10.79,23.92,40.35,3,0.64,9 mph TW,83°,,Fair,5,"Hartley / DeRenzo Thoroughbreds LLC, Agent II",HB,$75K 2026 / $30K 2023,$12.5K 2026 / $15K 2023
61,C,Maclean's Music,KY,,,1/8,10.1,11.1,34.3,52,,11.26,24.59,41.92,7,0.92,9 mph TW,77°,,Fair,2,"Richardson Bloodstock, Agent II",25KEESEP $50K,$30K 2026 / $50K 2023,$20K 2026 / $35K 2023
62,C,Corniche,KY,,,,,,,,,,,,3,0.5,,,,,11,"Randy Miles, Agent VIII",25KEESEP $230K / 25KEEJAN $100K,$15K 2026 / $30K 2023,N/A 2026 / $15K 2023
63,F,Epicenter,KY,,,1/8,10.1,10.3,33.1,47.1,,10.73,23.17,37.1,2.11,0.57,8 mph TW,74°,,Fair,18,"Twelve Toes LLC, Agent I",25KEESEP ($45K),$25K 2026 / $45K 2023,$10K 2026 / $10K 2023
64,C,MYSTIC GUIDE,KY,,,1/8,10.1,11,34.2,49.2,,11.14,24.23,39.35,2.11,0.5,5 mph TW,78°,,Fair,7,"Julie Davies LLC, Agent X",25FTSAUG $150K / 24KEENOV $120K,$7.5K 2026 / $15K 2023,$5K 2026 / $20K 2023
65,C,EARLY VOTING,KY,,,1/8,10.1,10.9,34.1,49.4,,10.92,24.17,39.79,3.8,0.83,0 mph,64°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25FTKJUL $170K,$12.5K 2026 / $25K 2023,$50K 2026 / $40K 2023
66,C,Roadster,FL,,,1/8,10.1,10.9,34,49.1,,10.87,23.96,39.03,3,0.75,6 mph TW,77°,,Fair,17,Dark Star Thoroughbreds (Stori Atchison),24KEENOV $25K,$7.5K 2026 / $7.5K 2023,$25K 2026 / $50K 2023
67,C,KEEPMEINMIND,NY,,,1/8,10.3,10.9,33.4,47,,10.98,23.23,36.54,3,0.75,5 mph TW,81°,,Fair,1,"Kings Equine, Agent",25SARAUG ($37K) / 24KEENOV ($47K) / 24FTDJUL $28K,$2K 2026 / $6.5K 2023,$100K 2026 / $15K 2023
68,F,Drain the Clock,KY,,,1/8,10.2,11.1,34.4,50.1,,11.23,24.48,39.98,3,0.75,8 mph TW,75°,,Fair,15,"Goldencents Thoroughbreds, Agent I",25KEESEP $9K,$10K 2026 / $10K 2023,$250K 2026 / $135K 2023
69,C,Central Banker,NY,,,,,,,,,,,,3,0.7,,,,,13,"McMahon of Saratoga Thoroughbreds LLC, Agent",HB,$7.5K 2026 / $7.5K 2023,$175K 2026 / $55K 2023
70,F,Nashville,NY,,,1/8,9.4,10.9,33.1,48,,10.81,23.54,38.23,3,0.75,5 mph CW,67°,,Fair,15,"Triple C Sales, Agent",25KEESEP $17K / 25FTKFEB $40K,$12.5K 2026 / $15K 2023,$25K 2026 / $45K 2023
71,F,Nashville,KY,,,1/8,9.4,10.8,33,47,,10.6,23.22,37.29,3.57,0.88,12 mph TW,77°,,Fair,16,"RM Stables LLC, Agent I",25KEESEP $45K,$12.5K 2026 / $15K 2023,$50K 2026 / $40K 2023
72,F,Mystic Guide,KY,,,,,,,,,,,,2.27,0.5,,,,,14,"Little Farm Equine LLC, Agent I",25FTKOCT ($28K),$7.5K 2026 / $15K 2023,$60K 2026 / $30K 2023
73,C,Frosted,KY,,,1/8,10.2,11.2,35.2,52.1,,11.46,25.09,41.84,4,0.7,10 mph CW,80°,,Fair,16,Blas Perez Stables,25KEESEP $22K / 25KEEJAN ($9K),$12.5K 2026 / $10K 2023,$12.5K 2026 / $10K 2023
74,F,Drain the Clock,WV,,,1/8,10.1,10.9,33.4,48.4,,10.95,23.73,38.67,3.67,0.64,0 mph,65°,,Fair,17,"My Little Stable Racing, Inc., Agent IV",25FTKFEB $14K,$10K 2026 / $10K 2023,$15K 2026 / $30K 2023
75,F,Golden Pal,NY,,,1/8,10.1,11,33.4,48.2,,11.01,23.79,38.23,3,0.5,7 mph TW,83°,,Fair,9,"Sequel Bloodstock, Agent I",HB,$25K 2026 / $30K 2023,2.5K CAN$ 2026 / N/A 2023
76,F,VOLATILE,KY,,,1/8,10.4,11,34.2,48.3,,11.11,23.6,37.92,5,0.83,4 mph CW,82°,,Fair,3,"Pick View LLC, Agent V",25FTKJUL ($10K) / 25KEEJAN ($7K),$10K 2026 / $12.5K 2023,$25K 2026 / $12.5K 2023
77,F,JACKIE'S WARRIOR,KY,,,1/8,10.1,10.9,33.4,48.2,,10.92,23.64,38.21,7,0.75,1 mph TW,63°,,Fair,18,"Twelve Toes LLC, Agent I",25FTKJUL ($190K) / 24FTKNOV $90K,$25K 2026 / $50K 2023,$12.5K 2026 / $15K 2023
78,C,NASHVILLE,KY,,,1/8,10,10.4,34.2,50.3,,10.98,24.48,40.73,3,0.67,5 mph TW,70°,,Fair,1,"Top Line Sales LLC, Agent XXXI",25FTKOCT $110K,$12.5K 2026 / $15K 2023,$10K 2026 / $10K 2023
79,F,Olympiad,KY,,,,,,,,,,,,3.8,0.75,,,,,4,"Golden Woods Thoroughbreds, Agent",25KEESEP $25K,$20K 2026 / $35K 2023,$175K 2026 / $55K 2023
80,C,Knicks Go,KY,,,1/8,9.4,10.9,32.4,47,,10.83,23.19,37.29,5,0.92,6 mph TW,77°,,Fair,3,"Rivera Training and Sales, Agent I",HB,N/A 2026 / $15K 2023,$60K 2026 / $30K 2023
81,C,Munnings,KY,,,1/8,9.4,10.9,33.4,50.1,,10.88,24.12,40.4,3,0.8,0 mph,62°,,Fair,18,GOP Racing Stable Corp.,25KEESEP $50K,$45K 2026 / $100K 2023,$15K 2026 / $45K 2023
82,C,Drain the Clock,KY,,,,,,,,,,,,7,0.75,,,,,14,"Grade One Investments LLC, Agent VI",25KEESEP $85K / 25FTKFEB $45K / 25KEEJAN ($14K),$10K 2026 / $10K 2023,100K 2026 / 175K 2023
83,F,Mo Donegal,LA,,,1/8,10.1,10.9,34.1,48.3,,10.92,24.17,38.54,1.86,0.3,9 mph CW,79°,,Fair,3,Empire Bloodstock LLC,25TTAYRL $5K / 25KEEJAN $7K,$5K 2026 / $20K 2023,$30K 2026 / $25K 2023
84,F,LIAM'S MAP,KY,,,,,,,,,,,,5,0.75,,,,,11,"Randy Miles, Agent I",25FTKOCT ($95K) / 24KEENOV $27K,$50K 2026 / $40K 2023,$250K 2026 / $135K 2023
85,F,Charlatan,KY,,,1/8,10,10.4,34.2,51,,10.91,24.55,41.04,4,0.8,2 mph TW,83°,,Fair,1,"Top Line Sales LLC, Agent XXV",25KEESEP $110K / 24KEENOV $65K,$25K 2026 / $50K 2023,$7.5K 2026 / $7.5K 2023
86,F,Vekoma,KY,,,1/8,9.4,10.8,32.4,46.3,,10.73,23.06,36.8,9,0.9,0 mph,62°,,Fair,1,"Kings Equine, Agent",25KEESEP $100K / 24KEENOV $105K,$100K 2026 / $15K 2023,$15K 2026 / $60K 2023
87,F,Not This Time,KY,,,1/8,10.1,10.9,34,49,,10.84,23.98,38.96,1.22,0.1,1 mph CW,69°,,Fair,12,"de Meric Sales, Agent VII",HB,$250K 2026 / $135K 2023,$15K 2026 / $20K 2023
88,C,Nyquist,KY,,,1/8,9.4,10.8,32.4,47,,10.67,23.16,37.35,0.6,-0.25,9 mph TW,75°,,Fair,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent X",25KEESEP $170K,$175K 2026 / $55K 2023,$5K 2026 / $20K 2023
89,C,Noble Bird,LA,,,1/8,10,11,33.2,47.3,,11.06,23.48,37.73,3,0.67,10 mph TW,79°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent",25OBSWIN ($12K),N/A 2026 / $3K 2023,$7.5K 2026 / $7.5K 2023
90,F,Epicenter,KY,,,,,,,,,,,,1.86,0.5,,,,,7,"Julie Davies LLC, Agent VIII",25KEESEP ($90K),$25K 2026 / $45K 2023,$175K 2026 / $55K 2023
91,F,Maxfield,KY,,,,,,,,,,,,3,0.5,,,,,1,"Top Line Sales LLC, Agent XIX",25KEESEP $200K / 24FTKNOV ($115K),$50K 2026 / $40K 2023,$15K 2026 / $45K 2023
92,C,Yaupon,KY,,,1/8,10,10.4,33.3,48.3,,10.83,23.79,38.79,3,1,6 mph TW,78°,,Fair,17,"Caliente Thoroughbreds, Agent XVI",25KEESEP ($95K),$60K 2026 / $30K 2023,$2.5K 2026 / $2.5K 2023
93,F,GOLDEN PAL,KY,,,,,,,,,,,,Infinite,1,,,,,8,"Paul Sharp, Agent V",25FTKJUL $120K,$25K 2026 / $30K 2023,$25K 2026 / $12.5K 2023
94,C,Frosted,KY,,,1/8,10.2,11.1,34.1,47.4,,11.29,23.88,37.54,3,0.58,15 mph TW,82°,,Fair,15,"Triple C Sales, Agent",25KEESEP $20K,$12.5K 2026 / $10K 2023,$5K 2026 / $20K 2023
95,C,Corniche,KY,,,1/4,21,11.2,32.2,45.3,01:00.4,,11.54,24.67,3,0.63,0 mph,62°,,Fair,3,"Pick View LLC, Agent XXIV",25KEESEP $275K,$15K 2026 / $30K 2023,$15K 2026 / $60K 2023
96,C,Tale of Silence,KY,,,1/4,20.3,11.8,32.1,46.2,01:03.4,,11.73,25.98,1.15,0.36,9 mph CW,79°,,Fair,16,"Doble J Equine Sales, Agent I",25KEESEP $14K,2.5K CAN$ 2026 / N/A 2023,$10K 2026 / $25K 2023
97,C,Army Mule,KY,,,1/8,10.1,11,33.4,48,,11.01,23.7,37.84,3,0.75,2 mph CW,77°,,Fair,15,Two Oaks Equine,25KEESEP $15K / 24KEENOV ($7K),$25K 2026 / $12.5K 2023,$5K 2026 / $20K 2023
98,C,Nashville,NY,,,1/8,10.1,11,34,48.1,,11.06,23.98,38.09,4,0.8,12 mph TW,78°,,Fair,10,"Flynt Fesmire, Agent I",25KEESEP $50K,$12.5K 2026 / $15K 2023,$7.5K 2026 / $15K 2023
99,F,DRAIN THE CLOCK,NY,,,1/4,21.2,11.9,33.1,47.3,01:04.0,,11.97,26.29,4,0.7,0 mph,61°,,Fair,4,"Ocala Stud, Agent",25SARAUG $40K / 24FTNMIX $70K,$10K 2026 / $10K 2023,$25K 2026 / $50K 2023
100,F,Nyquist,KY,,,1/8,10.1,11,34.3,49.4,,11.17,24.54,39.67,Infinite,1.17,4 mph CW,83°,,Fair,11,"Scanlon Training & Sales, Agent II",25KEESEP ($200K),$175K 2026 / $55K 2023,$7.5K 2026 / $7.5K 2023
101,C,Omaha Beach,KY,,,1/8,10,11,34,48.3,,11.01,24.09,38.78,3,0.64,2 mph TW,62°,,Fair,7,"Julie Davies LLC, Agent IV",25OBSWIN ($47K) / 24KEENOV $7K,$75K 2026 / $30K 2023,$110K 2026 / $110K 2023
102,C,Yaupon,KY,,,1/8,10.1,11,34.2,50.3,,11.01,24.22,40.57,3,1,3 mph TW,71°,,Slow,3,"Mayberry Farm, Agent II",25KEESEP $75K,$60K 2026 / $30K 2023,$25K 2026 / $30K 2023
103,C,Jack Christopher,KY,,,1/8,10.1,10.9,34,47.4,,10.96,23.92,37.73,4.33,0.63,5 mph TW,76°,,Fair,11,"Randy Miles, Agent V",25KEESEP ($140K),$15K 2026 / $45K 2023,$35K 2026 / $60K 2023
104,C,No Nay Never,IRE,,,1/8,10,10.4,33.3,47.4,,10.93,23.78,37.92,0.91,0.09,5 mph TW,74°,,Fair,10,"S G V Thoroughbreds LLC (Steven Venosa), Agent","25ARAUG $152,167",100K 2026 / 175K 2023,$15K 2026 / $30K 2023
105,C,Awesome Slew,FL,,,,,,,,,,,,3,0.71,,,,,6,RiceHorse Stable (Brandon & Ali Rice),HB,$4K 2026 / $4K 2023,$10K 2026 / $10K 2023
106,C,Girvin,KY,,,1/8,10.2,11,34,47.3,,11.04,23.67,37.23,3,0.63,7 mph TW,78°,,Fair,6,"RiceHorse Stable (Brandon & Ali Rice), Agent IV",25KEESEP $55K,$30K 2026 / $25K 2023,$12.5K 2026 / $5K 2023
107,C,Not This Time,KY,,,1/4,21.3,12,33.3,47.3,01:03.0,,12.11,26.11,1.8,0.29,4 mph TW,63°,,Fair,10,"Tom McCrocklin, Agent XI",25KEESEP $150K,$250K 2026 / $135K 2023,$25K 2026 / $50K 2023
108,C,Jack Christopher,KY,,,,,,,,,,,,2,0.33,,,,,15,"Goldencents Thoroughbreds, Agent",25KEESEP $4K,$15K 2026 / $45K 2023,$20K 2026 / $35K 2023
109,F,PINEHURST,NY,,,1/8,10.1,11,35,53.1,,11.07,24.96,43.17,2.33,0.5,10 mph TW,83°,,Fair,18,Navas Equine,25SARAUG $26K / 24FTNMIX $30K,$7.5K 2026 / $7.5K 2023,$15K 2026 / $30K 2023
110,C,Authentic,KY,,,1/8,10,10.4,33.3,48.3,,10.85,23.71,38.78,3,0.5,4 mph CW,68°,,Fair,18,Kae Vazquez Stables LLC,25FTKOCT $30K,$15K 2026 / $60K 2023,$75K 2026 / $25K 2023
111,F,Midshipman,KY,,,1/8,10.1,10.9,33.4,48.2,,10.97,23.79,38.35,6.33,0.86,4 mph TW,63°,,Fair,3,"J V C Training and Sales, Agent IV",25FTKOCT $40K,$15K 2026 / $20K 2023,$25K 2026 / $12.5K 2023
