Hip,Sex,Sire,State,TBX #,Day / Set,Distance,UT Time,GO Time,G.O. 1/4,G.O. 3/8,G.O. 1/2,G.O. 5/8,A.W. 1/8,A.W. 1/4,A.W. 3/8,DI,CD,Wind,Temp,Notes,Track Cond.,Barn,Consignor,Auction History,Stud Fee
552,F,Colonel Liam,FL,,3 / 150,1/8,10.2,,,,,,,,,,,,,,,3,"Pick View LLC, Agent XXXIV",,
553,C,Idol,NY,,3 / 66,1/8,10.4,,,,,,,,,,,,,,,16,"Cuatro Caminos, Agent",,
555,F,Munnings,NY,,3 / 94,1/8,10.2,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent II",,
558,C,Jackie's Warrior,KY,,3 / 81,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XVI",,
559,C,Vekoma,KY,,3 / 70,1/8,10.0,,,,,,,,,,,,,,,5,"Wavertree Stables, Inc. (Ciaran Dunne), Agent IV",,
560,F,Life Is Good,KY,,3 / 103,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent VII",,
561,C,Life Is Good,KY,,3 / 1,1/8,9.4,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XXXVIII",,
562,C,Keepmeinmind,NY,,3 / 135,1/4,21.4,,,,,,,,,,,,,,,6,RiceHorse Stable (Brandon & Ali Rice),,
563,C,Tiz the Law,NY,,3 / 137,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLV",,
564,F,Maclean's Music,KY,,3 / 78,1/8,10.1,,,,,,,,,,,,,,,3,"Pick View LLC, Agent III",,
567,F,Greatest Honour,KY,,3 / 102,1/8,10.1,,,,,,,,,,,,,,,7,"Hoppel LLC, Agent XXVI",,
568,F,Tiz the Law,PA,,3 / 118,1/8,10.0,,,,,,,,,,,,,,,1,"Top Line Sales LLC, Agent XLII",,
570,C,Epicenter,NY,,3 / 128,1/8,10.4,,,,,,,,,,,,,,,8,"Niall Brennan Stables, Agent VIII",,
571,F,Leinster,FL,,3 / 124,1/8,10.0,,,,,,,,,,,,,,,16,"RM Stables LLC, Agent II",,
